country,oly_country
"Congo, Dem. Rep.",Democratic Republic of the Congo
"Congo, Rep.",Republic of Congo
Cote d'Ivoire,Ivory Coast
Guinea-Bissau,Guinea Bissau
Kyrgyz Republic,Kyrgyzstan
Lao,Laos
"Micronesia, Fed. Sts.",Federated States of Micronesia
North Macedonia,Macedonia
Serbia,Republic of Serbia
Slovak Republic,Slovakia
St. Kitts and Nevis,Saint Kitts and Nevis
St. Lucia,Saint Lucia
St. Vincent and the Grenadines,Saint Vincent and the Grenadines
Timor-Leste,East Timor
United Kingdom,Great Britain
